Games won/total: 0/32.0, win %: 0.0%, last score: -10.0
Games won/total: 0/33.0, win %: 0.0%, last score: -10.0
Games won/total: 0/34.0, win %: 0.0%, last score: -10.0
Games won/total: 0/35.0, win %: 0.0%, last score: -10.0
Games won/total: 0/36.0, win %: 0.0%, last score: -10.0
Games won/total: 0/37.0, win %: 0.0%, last score: -10.0
Games won/total: 0/38.0, win %: 0.0%, last score: -10.0
Games won/total: 0/39.0, win %: 0.0%, last score: -10.0
Games won/total: 0/40.0, win %: 0.0%, last score: -10.0
Games won/total: 0/41.0, win %: 0.0%, last score: -10.0
Games won/total: 0/42.0, win %: 0.0%, last score: -10.0
Games won/total: 0/43.0, win %: 0.0%, last score: -10.0
Games won/total: 0/44.0, win %: 0.0%, last score: -10.0
Games won/total: 0/45.0, win %: 0.0%, last score: -10.0
Games won/total: 0/46.0, win %: 0.0%, last score: -10.0
Games won/total: 0/47.0, win %: 0.0%, last score: -10.0
Games won/total: 0/48.0, win %: 0.0%, last score: -10.0
Games won/total: 0/49.0, win %: 0.0%, last score: -10.0
Games won/total: 0/50.0, win %: 0.0%, last score: -10.0
Trained episode: 14, current score: -10.0 mean_score: 0.1, e: 0.0, iterations (steps): 287
Trained episode: 15, current score: -10.0 mean_score: 0.1, e: 0.0, iterations (steps): 302
Trained episode: 16, current score: -10.0 mean_score: 0.1, e: 0.0, iterations (steps): 317
Trained episode: 17, current score: -10.0 mean_score: 0.1, e: 0.0, iterations (steps): 332
Trained episode: 18, current score: -10.0 mean_score: 0.1, e: 0.0, iterations (steps): 347
Trained episode: 19, current score: -10.0 mean_score: 0.1, e: 0.0, iterations (steps): 362
Trained episode: 20, current score: -10.0 mean_score: 0.1, e: 0.0, iterations (steps): 377
Trained episode: 21, current score: -10.0 mean_score: 0.1, e: 0.0, iterations (steps): 392
Trained episode: 22, current score: -10.0 mean_score: 0.1, e: 0.0, iterations (steps): 407
Trained episode: 23, current score: -10.0 mean_score: 0.1, e: 0.0, iterations (steps): 422
Trained episode: 24, current score: -10.0 mean_score: 0.0, e: 0.0, iterations (steps): 437
Trained episode: 25, current score: -10.0 mean_score: 0.0, e: 0.0, iterations (steps): 452
